Human Signaling Network,16-Jan-14,,,
4086,SMAD1,2626,GATA4,Pos
22919,MAPRE1,2688,GH1,Neg
3558,IL2,5777,PTPN6,Pos
3375,IAPP,3725,JUN,Pos
64682,ANAPC1,64682,ANAPC1,Phy
808,CALM3,4638,MYLK,Pos
3586,IL10,3664,IRF6,Neg
898,CCNE1,64682,ANAPC1,Neg
815,CAMK2A,4842,NOS1,Neg
7791,ZYX,1399,CRKL,Pos
8667,EIF3H,8669,EIF3J,Phy
3039,HBA1,6169,RPL38,Phy
10663,CXCR6,2773,GNAI3,Pos
25942,SIN3A,4609,MYC,Neg
5881,RAC3,10810,WASF3,Pos
51035,UBXN1,5683,PSMA2,Phy
1616,DAXX,6416,MAP2K4,Pos
64223,MLST8,8669,EIF3J,Pos
6886,TAL1,7015,TERT,Neg
79660,PPP1R3B,2997,GYS1,Pos
3908,LAMA2,3674,ITGA2B,Pos
50509,COL5A3,3678,ITGA5,Pos
207,AKT1,5139,PDE3A,Pos
5883,RAD9A,545,ATR,Pos
4791,NFKB2,5743,PTGS2,Pos
55143,CDCA8,9493,KIF23,Pos
7132,TNFRSF1A,8841,HDAC3,Pos
6156,RPL30,6227,RPS21,Phy
1019,CDK4,5000,ORC4L,Pos
2004,ELK3,5296,PIK3R2,Phy
10243,GPHN,2741,GLRA1,Phy
9149,DYRK1B,5566,PRKACA,Pos
6164,RPL34,6217,RPS16,Phy
5451,POU2F1,114907,FBXO32,Neg
1781,DYNC1I2,22897,CEP164,Phy
7157,TP53,9338,TCEAL1,Pos
2534,FYN,29760,BLNK,Phy
5970,RELA,5465,PPARA,Neg
2251,FGF6,5335,PLCG1,Pos
329,BIRC2,8767,RIPK2,Pos
648,BMI1,1029,CDKN2A,Neg
9655,SOCS5,5618,PRLR,Neg
8061,FOSL1,3569,IL6,Pos
65061,CDK15,867,CBL,Pos
2192,FBLN1,5595,MAPK3,Neg
3690,ITGB3,1399,CRKL,Pos
6349,CCL3L1,2829,XCR1,Pos
811,CALR,1485,CTAG1B,Neg
2263,FGFR2,9965,FGF19,Phy
3561,IL2RG,3581,IL9R,Phy
23566,LPAR3,6356,CCL11,Phy
815,CAMK2A,960,CD44,Phy
5923,RASGRF1,4893,NRAS,Pos
10344,CCL26,1236,CCR7,Pos
9263,STK17A,8544,PIR,Pos
3315,HSPB1,5715,PSMD9,Phy
7979,SHFM1,122706,PSMB11,Phy
5425,POLD2,5981,RFC1,Pos
8823,FGF16,3480,IGF1R,Pos
4609,MYC,1965,EIF2S1,Pos
3082,HGF,4953,ODC1,Pos
5108,PCM1,10121,ACTR1A,Phy
6608,SMO,10499,NCOA2,Pos
4622,MYH4,71,ACTG1,Phy
2305,FOXM1,4775,NFATC3,Pos
1956,EGFR,5335,PLCG1,Phy
1843,DUSP1,65003,MRPL11,Neg
3815,KIT,9306,SOCS6,Phy
6787,NEK4,23126,POGZ,Pos
6850,SYK,3702,ITK,Pos
22954,TRIM32,4619,MYH1,Phy
5696,PSMB8,6921,TCEB1,Pos
5156,PDGFRA,5291,PIK3CB,Pos
983,CDK1,994,CDC25B,Pos
3791,KDR,6461,SHB,Phy
3845,KRAS,7532,YWHAG,Pos
3908,LAMA2,3913,LAMB2,Phy
1870,E2F2,7027,TFDP1,Phy
462,SERPINC1,4843,NOS2,Pos
7059,THBS3,8516,ITGA8,Pos
53358,SHC3,5290,PIK3CA,Pos
6915,TBXA2R,7052,TGM2,Neg
3381,IBSP,3696,ITGB8,Pos
3643,INSR,4792,NFKBIA,Pos
2768,GNA12,10565,ARFGEF1,Pos
6142,RPL18A,9045,RPL14,Phy
6787,NEK4,146434,ZNF597,Pos
7534,YWHAZ,5884,RAD17,Neg
10383,TUBB2C,55142,HAUS2,Phy
367,AR,7113,TMPRSS2,Pos
4313,MMP2,1000,CDH2,Pos
5694,PSMB6,6921,TCEB1,Pos
6217,RPS16,7314,UBB,Phy
2264,FGFR4,2768,GNA12,Pos
1128,CHRM1,2769,GNA15,Pos
5568,PRKACG,3925,STMN1,Pos
4974,OMG,84894,LINGO1,Pos
2059,EPS8,10006,ABI1,Phy
51196,PLCE1,5579,PRKCB,Phy
6775,STAT4,2119,ETV5,Pos
2475,MTOR,8660,IRS2,Neg
3040,HBA2,8661,EIF3A,Phy
3020,H3F3A,9918,NCAPD2,Phy
2886,GRB7,857,CAV1,Phy
2771,GNAI2,2444,FRK,Neg
5685,PSMA4,5704,PSMC4,Phy
2786,GNG4,23533,PIK3R5,Pos
5347,PLK1,10393,ANAPC10,Pos
3055,HCK,3570,IL6R,Phy
7409,VAV1,5290,PIK3CA,Pos
5731,PTGER1,2778,GNAS,Pos
51270,TFDP3,1869,E2F1,Neg
5336,PLCG2,8681,JMJD7-PLA2G4B,Pos
143471,PSMA8,6555,SLC10A2,Phy
6154,RPL26,6228,RPS23,Phy
6206,RPS12,6229,RPS24,Phy
6383,SDC2,84309,NUDT16L1,Phy
9655,SOCS5,163702,IL28RA,Neg
114548,NLRP3,3320,HSP90AA1,Phy
11143,MYST2,6195,RPS6KA1,Phy
2768,GNA12,7984,ARHGEF5,Pos
3553,IL1B,3569,IL6,Pos
6129,RPL7,7314,UBB,Phy
10395,DLC1,387,RHOA,Neg
2335,FN1,5595,MAPK3,Pos
5777,PTPN6,9180,OSMR,Neg
29110,TBK1,7535,ZAP70,Pos
3594,IL12RB1,1234,CCR5,Pos
1131,CHRM3,2776,GNAQ,Pos
11047,ADRM1,5684,PSMA3,Phy
660,BMX,50852,TRAT1,Pos
5727,PTCH1,5727,PTCH1,Pos
1977,EIF4E,8661,EIF3A,Phy
6955,TRA@,25759,SHC2,Pos
6425,SFRP5,8326,FZD9,Neg
3692,EIF6,6233,RPS27A,Pos
5737,PTGFR,9630,GNA14,Pos
23077,MYCBP2,25847,ANAPC13,Phy
5682,PSMA1,5698,PSMB9,Phy
3667,IRS1,3718,JAK3,Phy
8739,HRK,598,BCL2L1,Neg
51763,INPP5K,5590,PRKCZ,Phy
6134,RPL10,6224,RPS20,Phy
6422,SFRP1,7473,WNT3,Neg
5613,PRKX,468,ATF4,Pos
51377,UCHL5,64682,ANAPC1,Pos
4893,NRAS,2810,SFN,Pos
5255,PHKA1,801,CALM1,Phy
51433,ANAPC5,51343,FZR1,Pos
7029,TFDP2,23491,CES3,Pos
3458,IFNG,4049,LTA,Pos
4763,NF1,5430,POLR2A,Pos
836,CASP3,1514,CTSL1,Pos
79084,WDR77,11218,DDX20,Pos
7098,TLR3,3620,IDO1,Pos
8841,HDAC3,1386,ATF2,Neg
11224,RPL35,6146,RPL22,Phy
1387,CREBBP,6776,STAT5A,Phy
1487,CTBP1,2033,EP300,Neg
3371,TNC,1909,EDNRA,Pos
5578,PRKCA,10011,SRA1,Pos
6356,CCL11,2782,GNB1,Phy
137075,CLDN23,90952,ESAM,Phy
826,CAPNS1,284217,LAMA1,Pos
7027,TFDP1,23468,CBX5,Neg
10209,EIF1,6209,RPS15,Pos
9631,NUP155,79760,GEMIN7,Pos
904,CCNT1,25920,COBRA1,Pos
4927,NUP88,6606,SMN1,Pos
3694,ITGB6,5578,PRKCA,Phy
1605,DAG1,5578,PRKCA,Pos
10762,NUP50,9972,NUP153,Phy
959,CD40LG,7412,VCAM1,Pos
79791,FBXO31,4790,NFKB1,Neg
161742,SPRED1,3815,KIT,Phy
5159,PDGFRB,5580,PRKCD,Pos
5507,PPP1R3C,805,CALM2,Neg
6143,RPL19,6158,RPL28,Phy
23163,GGA3,55738,ARFGAP1,Phy
5155,PDGFB,4690,NCK1,Pos
5290,PIK3CA,5598,MAPK7,Pos
8428,STK24,64410,KLHL25,Pos
6143,RPL19,6152,RPL24,Phy
2033,EP300,1965,EIF2S1,Pos
116,ADCYAP1,1392,CRH,Pos
51377,UCHL5,5717,PSMD11,Phy
5601,MAPK9,4303,FOXO4,Pos
4751,NEK2,55835,CENPJ,Phy
246184,CDC26,11065,UBE2C,Pos
2305,FOXM1,675,BRCA2,Pos
27044,SND1,4602,MYB,Phy
607,BCL9,1499,CTNNB1,Pos
1495,CTNNA1,1956,EGFR,Pos
10806,SDCCAG8,22919,MAPRE1,Phy
7874,USP7,4193,MDM2,Pos
3556,IL1RAP,3553,IL1B,Neg
3679,ITGA7,9564,BCAR1,Pos
5713,PSMD7,6921,TCEB1,Pos
4276,MICA,22914,KLRK1,Pos
7481,WNT11,7525,YES1,Pos
9564,BCAR1,6714,SRC,Phy
6300,MAPK12,4137,MAPT,Pos
2774,GNAL,109,ADCY3,Pos
55835,CENPJ,9738,CP110,Phy
7297,TYK2,7297,TYK2,Pos
1385,CREB1,84699,CREB3L3,Phy
5566,PRKACA,9126,SMC3,Pos
3689,ITGB2,1399,CRKL,Pos
4193,MDM2,3480,IGF1R,Neg
55703,POLR3B,5441,POLR2L,Phy
8655,DYNLL1,1069,CETN2,Phy
5594,MAPK1,8048,CSRP3,Pos
6885,MAP3K7,6608,SMO,Pos
665,BNIP3L,596,BCL2,Neg
5573,PRKAR1A,2778,GNAS,Pos
80227,PAAF1,6555,SLC10A2,Phy
23704,KCNE4,3784,KCNQ1,Neg
26281,FGF20,2264,FGFR4,Pos
5293,PIK3CD,7409,VAV1,Phy
8742,TNFSF12,329,BIRC2,Pos
6880,TAF9,6877,TAF5,Phy
3122,HLA-DRA,867,CBL,Pos
1509,CTSD,226,ALDOA,Phy
5520,PPP2R2A,7043,TGFB3,Phy
4638,MYLK,103910,MYL12B,Pos
998,CDC42,7410,VAV2,Pos
11156,PTP4A3,9564,BCAR1,Neg
6722,SRF,9759,HDAC4,Phy
3661,IRF3,3627,CXCL10,Pos
5715,PSMD9,5704,PSMC4,Phy
5340,PLG,7040,TGFB1,Pos
9093,DNAJA3,3717,JAK2,Pos
6169,RPL38,6210,RPS15A,Phy
5689,PSMB1,5720,PSME1,Phy
2781,GNAZ,9294,S1PR2,Phy
3567,IL5,3568,IL5RA,Pos
5695,PSMB7,9491,PSMF1,Phy
6146,RPL22,6191,RPS4X,Phy
5781,PTPN11,5605,MAP2K2,Pos
1399,CRKL,5293,PIK3CD,Pos
79660,PPP1R3B,5257,PHKB,Neg
6794,STK11,57787,MARK4,Pos
5196,PF4,1232,CCR3,Pos
6348,CCL3,3579,CXCR2,Pos
627,BDNF,5295,PIK3R1,Pos
2925,GRPR,9630,GNA14,Pos
1432,MAPK14,3725,JUN,Pos
5911,RAP2A,5900,RALGDS,Pos
5924,RASGRF2,785,CACNB4,Phy
2534,FYN,5879,RAC1,Pos
2512,FTL,6156,RPL30,Phy
3320,HSP90AA1,4342,MOS,Pos
10000,AKT3,2768,GNA12,Pos
2247,FGF2,6777,STAT5B,Pos
567,B2M,5588,PRKCQ,Pos
100302736,TMED7-TICAM2,3654,IRAK1,Pos
5925,RB1,5925,RB1,Pos
8718,TNFRSF25,9020,MAP3K14,Pos
1947,EFNB1,8867,SYNJ1,Pos
51081,MRPS7,6132,RPL8,Phy
6167,RPL37,6193,RPS5,Phy
9261,MAPKAPK2,1385,CREB1,Pos
4927,NUP88,79760,GEMIN7,Pos
8626,TP63,861,RUNX1,Pos
5685,PSMA4,5710,PSMD4,Phy
3553,IL1B,4827,NM,Pos
4790,NFKB1,3553,IL1B,Pos
5694,PSMB6,5702,PSMC3,Phy
25942,SIN3A,7321,UBE2D1,Phy
148022,TICAM1,7099,TLR4,Phy
5595,MAPK3,5604,MAP2K1,Pos
6494,SIPA1,5921,RASA1,Pos
2958,GTF2A2,2957,GTF2A1,Phy
10670,RRAGA,64223,MLST8,Neg
5715,PSMD9,6921,TCEB1,Pos
7048,TGFBR2,4760,NEUROD1,Pos
122809,SOCS4,116379,IL22RA2,Neg
3913,LAMB2,8516,ITGA8,Pos
10125,RASGRP1,8912,CACNA1H,Phy
5535,PPP3R2,64682,ANAPC1,Pos
8894,EIF2S2,7311,UBA52,Pos
5533,PPP3CC,8301,PICALM,Pos
6257,RXRB,5469,MED1,Phy
713,C1QB,713,C1QB,Phy
268,AMH,4093,SMAD9,Pos
23054,NCOA6,354,KLK3,Pos
5058,PAK1,29068,ZBTB44,Pos
5879,RAC1,8440,NCK2,Neg
3014,H2AFX,545,ATR,Pos
1280,COL2A1,8516,ITGA8,Pos
2773,GNAI3,4846,NOS3,Pos
4174,MCM5,5001,ORC5L,Phy
5594,MAPK1,387,RHOA,Pos
1499,CTNNB1,5295,PIK3R1,Pos
1147,CHUK,208,AKT2,Phy
1020,CDK5,639,PRDM1,Pos
3664,IRF6,5743,PTGS2,Pos
5295,PIK3R1,9564,BCAR1,Pos
7436,VLDLR,1600,DAB1,Pos
5582,PRKCG,6237,RRAS,Pos
3688,ITGB1,5977,DPF2,Neg
5613,PRKX,2736,GLI2,Neg
5731,PTGER1,2767,GNA11,Pos
6500,SKP1,9134,CCNE2,Neg
3725,JUN,5328,PLAU,Pos
23332,CLASP1,7840,ALMS1,Phy
5696,PSMB8,29945,ANAPC4,Pos
163688,CALML6,109,ADCY3,Pos
6794,STK11,9667,SAFB2,Pos
186,AGTR2,6654,SOS1,Pos
8912,CACNA1H,782,CACNB1,Phy
5887,RAD23B,80227,PAAF1,Phy
6885,MAP3K7,10000,AKT3,Pos
54413,NLGN3,9369,NRXN3,Pos
7979,SHFM1,5713,PSMD7,Phy
23411,SIRT1,1027,CDKN1B,Pos
6774,STAT3,4582,MUC1,Neg
7295,TXN,3301,DNAJA1,Neg
22981,NINL,5577,PRKAR2B,Phy
2099,ESR1,2597,GAPDH,Pos
5686,PSMA5,5704,PSMC4,Phy
5690,PSMB2,23198,PSME4,Phy
5692,PSMB4,9320,TRIP12,Phy
3630,INS,6446,SGK1,Pos
816,CAMK2B,4638,MYLK,Pos
2778,GNAS,115,ADCY9,Pos
1855,DVL1,4040,LRP6,Phy
140801,RPL10L,6125,RPL5,Phy
868,CBLB,53833,IL20RB,Neg
5594,MAPK1,842,CASP9,Neg
2261,FGFR3,29924,EPN1,Phy
3444,IFNA7,3460,IFNGR2,Pos
3718,JAK3,6773,STAT2,Pos
6156,RPL30,6207,RPS13,Phy
5578,PRKCA,7041,TGFB1I1,Pos
2260,FGFR1,4760,NEUROD1,Pos
6777,STAT5B,3295,HSD17B4,Neg
7412,VCAM1,6714,SRC,Pos
203068,TUBB,2903,GRIN2A,Phy
57804,POLD4,57804,POLD4,Pos
3921,RPSA,6201,RPS7,Phy
1482,NKX2-5,4208,MEF2C,Pos
284217,LAMA1,6709,SPTAN1,Phy
2066,ERBB4,3717,JAK2,Phy
6346,CCL1,1230,CCR1,Pos
3674,ITGA2B,87,ACTN1,Phy
6159,RPL29,6207,RPS13,Phy
2767,GNA11,629,CFB,Pos
5685,PSMA4,5689,PSMB1,Phy
5430,POLR2A,6872,TAF1,Phy
9370,ADIPOQ,6774,STAT3,Neg
59345,GNB4,5295,PIK3R1,Pos
5590,PRKCZ,3551,IKBKB,Pos
2868,GRK4,3577,CXCR1,Pos
2782,GNB1,2149,F2R,Phy
10207,INADL,8506,CNTNAP1,Phy
2786,GNG4,23236,PLCB1,Pos
23468,CBX5,79885,HDAC11,Phy
6376,CX3CL1,3577,CXCR1,Pos
1844,DUSP2,5602,MAPK10,Neg
1387,CREBBP,5915,RARB,Phy
2246,FGF1,1956,EGFR,Pos
5601,MAPK9,6118,RPA2,Pos
5170,PDPK1,3690,ITGB3,Pos
2353,FOS,3852,KRT5,Pos
3364,HUS1,22897,CEP164,Phy
57030,SLC17A7,6812,STXBP1,Pos
7531,YWHAE,1454,CSNK1E,Phy
7175,TPR,23165,NUP205,Phy
2316,FLNA,3673,ITGA2,Phy
3135,HLA-G,3802,KIR2DL1,Pos
8835,SOCS2,3459,IFNGR1,Neg
1387,CREBBP,2908,NR3C1,Phy
7124,TNF,2152,F3,Pos
2357,FPR1,5029,P2RY2,Phy
4242,MFNG,182,JAG1,Pos
5597,MAPK6,1104,RCC1,Pos
7852,CXCR4,6402,SELL,Pos
26119,LDLRAP1,867,CBL,Pos
999,CDH1,3082,HGF,Neg
6129,RPL7,6189,RPS3A,Phy
5701,PSMC2,5715,PSMD9,Phy
6196,RPS6KA2,6657,SOX2,Pos
8841,HDAC3,2033,EP300,Pos
1277,COL1A1,3695,ITGB7,Pos
3381,IBSP,3672,ITGA1,Pos
11224,RPL35,3040,HBA2,Phy
1364,CLDN4,9076,CLDN1,Phy
51128,SAR1B,335,APOA1,Pos
79791,FBXO31,2736,GLI2,Neg
3280,HES1,1869,E2F1,Neg
5688,PSMA7,5698,PSMB9,Phy
7027,TFDP1,51716,CES4,Pos
197131,UBR1,5691,PSMB3,Phy
4868,NPHS1,8503,PIK3R3,Pos
8742,TNFSF12,3383,ICAM1,Pos
2641,GCG,4852,NPY,Pos
8912,CACNA1H,10368,CACNG3,Phy
4233,MET,53358,SHC3,Phy
3635,INPP5D,5296,PIK3R2,Phy
4163,MCC,1080,CFTR,Neg
1387,CREBBP,6925,TCF4,Phy
2207,FCER1G,2213,FCGR2B,Phy
4217,MAP3K5,841,CASP8,Pos
5709,PSMD3,5684,PSMA3,Phy
4862,NPAS2,8914,TIMELESS,Pos
5582,PRKCG,58494,JAM2,Pos
9402,GRAP2,3265,HRAS,Pos
3627,CXCL10,5608,MAP2K6,Pos
6193,RPS5,8894,EIF2S2,Phy
5715,PSMD9,51434,ANAPC7,Pos
5887,RAD23B,991,CDC20,Pos
3082,HGF,6692,SPINT1,Pos
5008,OSM,3082,HGF,Pos
1674,DES,7431,VIM,Pos
3561,IL2RG,6777,STAT5B,Pos
22981,NINL,9793,CKAP5,Phy
51377,UCHL5,29882,ANAPC2,Pos
867,CBL,3460,IFNGR2,Neg
1487,CTBP1,25942,SIN3A,Phy
3570,IL6R,3717,JAK2,Pos
51377,UCHL5,8454,CUL1,Pos
9370,ADIPOQ,3569,IL6,Pos
5120,PCOS1,268,AMH,Pos
6732,SRPK1,4188,MDFI,Pos
2071,ERCC3,5437,POLR2H,Pos
5708,PSMD2,5716,PSMD10,Phy
9467,SH3BP5,4067,LYN,Neg
5567,PRKACB,2792,GNGT1,Pos
7057,THBS1,2258,FGF13,Neg
7132,TNFRSF1A,4214,MAP3K1,Pos
1902,AP1S2,4790,NFKB1,Pos
147746,HIPK4,7157,TP53,Pos
3688,ITGB1,55742,PARVA,Phy
6146,RPL22,6188,RPS3,Phy
1968,EIF2S3,6222,RPS18,Phy
1944,EFNA3,2044,EPHA5,Pos
701,BUB1B,246184,CDC26,Neg
8831,SYNGAP1,3265,HRAS,Neg
9669,EIF5B,6223,RPS19,Pos
5700,PSMC1,8697,CDC23,Pos
4602,MYB,1436,CSF1R,Neg
5566,PRKACA,7846,TUBA1A,Phy
1432,MAPK14,1977,EIF4E,Pos
5295,PIK3R1,5605,MAP2K2,Pos
10818,FRS2,5290,PIK3CA,Pos
7157,TP53,5268,SERPINB5,Pos
7157,TP53,7015,TERT,Neg
5296,PIK3R2,5777,PTPN6,Phy
2932,GSK3B,55269,PSPC1,Pos
2736,GLI2,89780,WNT3A,Pos
5718,PSMD12,51529,ANAPC11,Pos
6019,RLN2,59350,RXFP1,Pos
2770,GNAI1,5290,PIK3CA,Pos
7040,TGFB1,2150,F2RL1,Neg
3065,HDAC1,50804,MYEF2,Neg
64321,SOX17,51176,LEF1,Neg
8379,MAD1L1,4085,MAD2L1,Pos
409,ARRB2,5595,MAPK3,Neg
7161,TP73,835,CASP2,Pos
8661,EIF3A,1965,EIF2S1,Phy
4068,SH2D1A,2534,FYN,Pos
1630,DCC,998,CDC42,Pos
5786,PTPRA,3643,INSR,Pos
3371,TNC,3673,ITGA2,Pos
2113,ETS1,2353,FOS,Phy
5432,POLR2C,7936,RDBP,Phy
5683,PSMA2,9690,UBE3C,Phy
7157,TP53,8553,BHLHE40,Pos
2770,GNAI1,196883,ADCY4,Neg
4176,MCM7,5001,ORC5L,Phy
6135,RPL11,6201,RPS7,Phy
53358,SHC3,5600,MAPK11,Pos
22808,MRAS,5894,RAF1,Pos
9500,MAGED1,5599,MAPK8,Pos
2309,FOXO3,847,CAT,Pos
3084,NRG1,6777,STAT5B,Pos
7157,TP53,575,BAI1,Pos
6794,STK11,9024,BRSK2,Pos
22995,CEP152,5108,PCM1,Phy
3565,IL4,1232,CCR3,Pos
2033,EP300,55802,DCP1A,Pos
4316,MMP7,355,FAS,Pos
1906,EDN1,1437,CSF2,Pos
3725,JUN,894,CCND2,Pos
6167,RPL37,6228,RPS23,Phy
9479,MAPK8IP1,4294,MAP3K10,Pos
2353,FOS,5328,PLAU,Pos
2999,GZMH,3002,GZMB,Pos
8458,TTF2,2087,ERVK2,Pos
2790,GNG10,57580,PREX1,Pos
7297,TYK2,3675,ITGA3,Pos
2792,GNGT1,6714,SRC,Pos
3611,ILK,8503,PIK3R3,Phy
137075,CLDN23,9080,CLDN9,Phy
891,CCNB1,2810,SFN,Phy
5687,PSMA6,8945,BTRC,Pos
345,APOC3,344,APOC2,Phy
10125,RASGRP1,785,CACNB4,Phy
5970,RELA,7042,TGFB2,Pos
2785,GNG3,57580,PREX1,Pos
3980,LIG3,3980,LIG3,Pos
51497,TH1L,2962,GTF2F1,Phy
6198,RPS6KB1,572,BAD,Neg
6227,RPS21,6228,RPS23,Phy
10235,RASGRP2,59283,CACNG8,Phy
4088,SMAD3,4851,NOTCH1,Phy
80321,CEP70,22919,MAPRE1,Phy
9021,SOCS3,9846,GAB2,Phy
7337,UBE3A,9491,PSMF1,Phy
5516,PPP2CB,5527,PPP2R5C,Phy
1301,COL11A1,6385,SDC4,Pos
3416,IDE,9861,PSMD6,Phy
100302746,NCRUPAR,2149,F2R,Pos
51701,NLK,5566,PRKACA,Pos
5728,PTEN,6464,SHC1,Neg
3691,ITGB4,7408,VASP,Phy
5429,POLH,545,ATR,Pos
2550,GABBR1,2775,GNAO1,Pos
2785,GNG3,5293,PIK3CD,Pos
5347,PLK1,8626,TP63,Neg
659,BMPR2,127933,UHMK1,Pos
2889,RAPGEF1,1399,CRKL,Phy
1956,EGFR,5306,PITPNA,Phy
5568,PRKACG,5577,PRKAR2B,Phy
10103,TSPAN1,3680,ITGA9,Phy
7157,TP53,5595,MAPK3,Neg
7329,UBE2I,7337,UBE3A,Phy
2796,GNRH1,5617,PRL,Pos
10197,PSME3,6622,SNCA,Neg
4772,NFATC1,5468,PPARG,Phy
5924,RASGRF2,59284,CACNG7,Phy
9138,ARHGEF1,392,ARHGAP1,Pos
2920,CXCL2,643,CXCR5,Pos
3586,IL10,6347,CCL2,Pos
3065,HDAC1,4209,MEF2D,Phy
3551,IKBKB,3667,IRS1,Neg
5985,RFC5,5983,RFC3,Phy
6124,RPL4,6208,RPS14,Phy
1781,DYNC1I2,10540,DCTN2,Phy
2534,FYN,1950,EGF,Pos
2251,FGF6,2260,FGFR1,Phy
653509,SFTPA1,5595,MAPK3,Pos
3446,IFNA10,3454,IFNAR1,Phy
5608,MAP2K6,25,ABL1,Pos
53944,CSNK1G1,94104,PAXBP1,Pos
712,C1QA,712,C1QA,Phy
2782,GNB1,6464,SHC1,Pos
143471,PSMA8,9861,PSMD6,Phy
2185,PTK2B,127018,LYPLAL1,Pos
3558,IL2,5595,MAPK3,Pos
6227,RPS21,9513,FXR2,Phy
3676,ITGA4,89,ACTN3,Phy
10454,MAP3K7IP1,1432,MAPK14,Pos
8536,CAMK1,9734,HDAC9,Pos
5577,PRKAR2B,22897,CEP164,Phy
5563,PRKAA2,5564,PRKAB1,Phy
22801,ITGA11,7070,THY1,Phy
4040,LRP6,7855,FZD5,Phy
5704,PSMC4,5694,PSMB6,Phy
8480,RAE1,11097,NUPL2,Phy
10987,COPS5,1027,CDKN1B,Neg
9712,USP6NL,815,CAMK2A,Pos
23533,PIK3R5,5336,PLCG2,Pos
7277,TUBA4A,1639,DCTN1,Phy
2185,PTK2B,7295,TXN,Pos
3718,JAK3,2885,GRB2,Pos
2251,FGF6,5781,PTPN11,Phy
5580,PRKCD,387,RHOA,Pos
5683,PSMA2,5714,PSMD8,Phy
9965,FGF19,4233,MET,Pos
6955,TRA@,5295,PIK3R1,Pos
2250,FGF5,1956,EGFR,Pos
2764,GMFB,1437,CSF2,Pos
3596,IL13,2006,ELN,Pos
9655,SOCS5,149233,IL23R,Neg
5894,RAF1,3059,HCLS1,Pos
3021,H3F3B,5568,PRKACG,Phy
5515,PPP2CA,6199,RPS6KB2,Neg
1875,E2F5,5781,PTPN11,Phy
5295,PIK3R1,5290,PIK3CA,Pos
1432,MAPK14,9149,DYRK1B,Neg
4634,MYL3,4635,MYL4,Phy
3683,ITGAL,1399,CRKL,Pos
3667,IRS1,53358,SHC3,Phy
10971,YWHAQ,3910,LAMA4,Phy
9992,KCNE2,10021,HCN4,Pos
5518,PPP2R1A,7531,YWHAE,Pos
1906,EDN1,3383,ICAM1,Pos
5829,PXN,6774,STAT3,Pos
1234,CCR5,6387,CXCL12,Phy
1020,CDK5,1759,DNM1,Pos
7046,TGFBR1,9392,TGFBRAP1,Phy
1487,CTBP1,23309,SIN3B,Phy
81607,PVRL4,56288,PARD3,Pos
1487,CTBP1,166,AES,Phy
4738,NEDD8,7157,TP53,Phy
4851,NOTCH1,5777,PTPN6,Phy
29895,MYLPF,4625,MYH7,Phy
11184,MAP4K1,5599,MAPK8,Pos
55715,DOK4,5979,RET,Phy
1230,CCR1,409,ARRB2,Phy
9475,ROCK2,8394,PIP5K1A,Pos
714,C1QC,715,C1R,Phy
5701,PSMC2,6921,TCEB1,Pos
1374,CPT1A,23305,ACSL6,Phy
10540,DCTN2,10121,ACTR1A,Phy
10379,IRF9,2353,FOS,Neg
64061,TSPYL2,5595,MAPK3,Pos
6217,RPS16,6205,RPS11,Phy
5879,RAC1,10787,NCKAP1,Pos
6125,RPL5,6176,RPLP1,Phy
472,ATM,5810,RAD1,Pos
7936,RDBP,9150,CTDP1,Phy
23396,PIP5K1C,7414,VCL,Phy
5717,PSMD11,5701,PSMC2,Phy
55215,FANCI,57697,FANCM,Pos
3921,RPSA,51081,MRPS7,Phy
9669,EIF5B,6125,RPL5,Pos
4254,KITLG,10603,SH2B2,Pos
8086,AAAS,348995,NUP43,Phy
5579,PRKCB,23566,LPAR3,Pos
4790,NFKB1,8439,NSMAF,Neg
8754,ADAM9,3655,ITGA6,Pos
9370,ADIPOQ,51094,ADIPOR1,Pos
9232,PTTG1,9700,ESPL1,Neg
83903,GSG2,2260,FGFR1,Pos
6599,SMARCC1,2971,GTF3A,Pos
7430,EZR,5576,PRKAR2A,Phy
5695,PSMB7,7337,UBE3A,Phy
118788,PIK3AP1,5293,PIK3CD,Phy
23533,PIK3R5,27040,LAT,Phy
2885,GRB2,5590,PRKCZ,Pos
6143,RPL19,6230,RPS25,Phy
3685,ITGAV,3688,ITGB1,Phy
122011,CSNK1A1L,55616,ASAP3,Pos
2246,FGF1,25759,SHC2,Phy
9475,ROCK2,5590,PRKCZ,Pos
4804,NGFR,5879,RAC1,Pos
2475,MTOR,54205,CYCS,Pos
2782,GNB1,6955,TRA@,Neg
10284,SAP18,25942,SIN3A,Phy
10284,SAP18,23468,CBX5,Phy
2277,FIGF,6464,SHC1,Pos
7533,YWHAH,9610,RIN1,Neg
6300,MAPK12,6640,SNTA1,Pos
5594,MAPK1,2251,FGF6,Neg
53904,MYO3A,127933,UHMK1,Pos
3909,LAMA3,2017,CTTN,Pos
5778,PTPN7,6300,MAPK12,Neg
1392,CRH,1395,CRHR2,Pos
3688,ITGB1,7070,THY1,Phy
1499,CTNNB1,3091,HIF1A,Pos
4793,NFKBIB,8454,CUL1,Phy
5578,PRKCA,5524,PPP2R4,Pos
8445,DYRK2,7428,VHL,Pos
5609,MAP2K7,3141,HLCS,Pos
3040,HBA2,6122,RPL3,Phy
2057,EPOR,1399,CRKL,Pos
3265,HRAS,4214,MAP3K1,Pos
6229,RPS24,6189,RPS3A,Phy
